
0	499.681
250	496.315
500	477.966
750	428.272
1250	388.841
1750	316.434
2750	264.411
4250	198.460
6500	144.529
10000	119.589
15000	161.197
20000	125.371
25000	140.288
30000	132.333
35000	108.322
40000	114.583
45000	101.185
50000	107.598
55000	104.982
60000	116.296
65000	101.885
70000	101.729
75000	117.619
80000	96.871
85000	109.198
90000	90.807
95000	101.903
100000	95.469
105000	100.022
110000	93.178
115000	104.748
125000	101.097
130000	99.846
135000	93.878
145000	87.953
155000	88.717
160000	93.253
170000	97.749
180000	95.575
190000	93.550
