
0	519.987
250	458.408
500	395.059
750	404.467
1250	377.262
1750	377.329
2750	396.849
4250	401.808
6500	432.892
10000	377.877
15000	411.815
20000	389.994
25000	342.874
30000	257.726
35000	221.035
40000	191.009
45000	163.620
50000	169.123
55000	164.976
60000	168.698
65000	153.691
70000	183.157
75000	140.338
80000	166.299
85000	149.669
90000	152.916
95000	161.478
100000	144.764
105000	162.654
110000	162.774
115000	147.578
125000	134.327
130000	127.017
135000	144.486
145000	136.181
155000	142.103
160000	160.974
170000	139.467
180000	142.844
190000	153.631
