
0	509.202
250	449.878
500	408.578
750	390.085
1250	378.789
1750	377.799
2750	375.439
4250	385.091
6500	390.091
10000	405.423
15000	381.054
20000	370.927
25000	305.804
30000	274.701
35000	256.713
40000	220.340
45000	199.630
50000	228.394
55000	161.971
60000	188.687
65000	171.736
70000	176.596
75000	162.436
80000	133.777
85000	135.527
90000	152.216
95000	157.382
100000	160.788
105000	136.467
110000	129.536
115000	153.957
125000	129.266
130000	155.313
135000	131.112
145000	155.161
155000	132.140
160000	150.450
170000	149.785
180000	138.730
190000	141.141
