
0	511.216
250	493.430
500	477.883
750	413.178
1250	407.503
1750	318.435
2750	271.175
4250	251.357
6500	165.232
10000	130.775
15000	133.097
20000	139.291
25000	179.651
30000	153.337
35000	181.028
40000	151.666
45000	141.909
50000	177.500
55000	204.596
60000	157.119
65000	189.237
70000	158.196
75000	214.688
80000	171.291
85000	181.374
90000	172.163
95000	166.263
100000	173.173
105000	158.022
110000	179.521
115000	169.799
125000	172.712
130000	166.893
135000	185.184
145000	166.277
155000	177.003
160000	169.478
170000	202.657
180000	161.462
190000	157.106
