
0	502.000
250	497.091
500	478.762
750	429.758
1250	399.401
1750	322.326
2750	268.895
4250	209.160
6500	179.004
10000	154.527
15000	125.607
20000	114.605
25000	137.812
30000	133.357
35000	149.327
40000	138.027
45000	143.253
50000	148.467
55000	161.238
60000	146.230
65000	166.428
70000	157.728
75000	156.535
80000	150.832
85000	156.527
90000	143.242
95000	149.845
100000	151.025
105000	149.431
110000	156.229
115000	150.685
125000	148.542
130000	154.220
135000	145.817
145000	153.379
155000	161.153
160000	148.523
170000	156.668
180000	148.953
190000	154.089
