
0	512.175
250	499.653
500	495.939
750	469.975
1250	429.094
1750	402.123
2750	321.115
4250	226.265
6500	227.409
10000	207.876
15000	163.945
20000	173.661
25000	175.915
30000	176.865
35000	168.373
40000	175.719
45000	174.996
50000	179.538
55000	190.557
60000	219.047
65000	182.054
70000	165.324
75000	179.407
80000	167.649
85000	168.098
90000	167.154
95000	182.910
100000	160.898
105000	178.002
110000	155.904
115000	165.257
125000	164.188
130000	167.662
135000	162.271
145000	163.106
155000	160.670
160000	173.712
170000	167.663
180000	164.232
190000	164.453
