
0	507.178
250	506.001
500	503.908
750	482.496
1250	394.039
1750	404.902
2750	270.897
4250	135.005
6500	151.966
10000	164.874
15000	153.921
20000	102.573
25000	117.136
30000	108.267
35000	84.446
40000	84.746
45000	108.559
50000	114.653
55000	98.852
60000	100.622
65000	79.478
70000	99.472
75000	93.291
80000	94.165
85000	95.502
90000	93.560
95000	87.500
100000	94.345
105000	95.423
110000	85.566
115000	95.772
125000	81.887
130000	75.153
135000	105.920
145000	80.502
155000	95.463
160000	89.996
170000	83.754
180000	93.537
190000	102.318
