
0	0.000	0.00000	0.00000	0.00000
250	0.000	0.00000	0.00000	0.00000
500	0.000	0.00000	0.00000	0.00000
750	0.000	0.00000	0.00000	0.00000
1250	0.000	0.00000	0.00000	0.00000
1750	0.000	0.00000	0.00000	0.00000
2750	0.000	0.00000	0.00000	0.00000
4250	0.100	0.10015	0.00000	0.30000
6500	1.277	0.36005	0.60000	2.00000
10000	9.526	0.90727	7.80000	11.30000
15000	21.283	1.28837	18.70000	23.70000
20000	39.782	1.57464	36.69750	42.80000
25000	31.200	1.43589	28.60000	34.30000
30000	62.262	1.57032	59.00000	65.30000
35000	47.014	1.62960	43.50000	50.20000
40000	76.227	1.30071	73.50000	78.70000
45000	79.604	1.26987	77.20000	82.00000
50000	61.671	1.54799	58.50000	64.60000
55000	67.207	1.51233	64.19750	70.10000
60000	91.548	0.88309	89.80000	93.30000
65000	58.847	1.52506	55.90000	61.90000
70000	87.416	1.03120	85.49750	89.30000
75000	61.553	1.54226	58.60000	64.40000
80000	78.301	1.27536	75.80000	80.60250
85000	76.637	1.35060	74.10000	79.20250
90000	87.719	1.06664	85.60000	89.90000
95000	90.659	0.93081	88.70000	92.40000
100000	83.935	1.13511	81.69750	86.10000
105000	88.389	1.01006	86.40000	90.30000
110000	81.172	1.27670	78.79750	83.80000
115000	87.006	1.05186	84.90000	89.00250
125000	86.037	1.09396	84.00000	88.30000
130000	86.681	1.05632	84.60000	88.70000
135000	92.013	0.87128	90.30000	93.70000
145000	90.266	0.94262	88.30000	92.00250
155000	88.177	1.01014	86.10000	90.20000
160000	93.018	0.81068	91.40000	94.50000
170000	75.716	1.32124	72.99750	78.20250
180000	96.415	0.60197	95.10000	97.50000
190000	95.891	0.63153	94.60000	97.10000
