
0	0.000	0.00000	0.00000	0.00000
250	0.000	0.00000	0.00000	0.00000
500	0.000	0.00000	0.00000	0.00000
750	0.000	0.00000	0.00000	0.00000
1250	0.000	0.00000	0.00000	0.00000
1750	0.000	0.00000	0.00000	0.00000
2750	0.000	0.00000	0.00000	0.00000
4250	0.000	0.00000	0.00000	0.00000
6500	0.000	0.00000	0.00000	0.00000
10000	4.016	2.00094	1.00000	8.00000
15000	25.122	4.21627	17.00000	34.00000
20000	44.939	5.06013	35.97500	55.00000
25000	35.860	4.80994	27.00000	45.00000
30000	50.825	5.14965	41.00000	61.00000
35000	72.838	4.29840	64.00000	82.00000
40000	73.925	4.49217	65.00000	82.00000
45000	86.886	3.36368	80.00000	93.00000
50000	87.042	3.28771	80.00000	93.00000
55000	83.919	3.65894	77.00000	91.00000
60000	85.074	3.55629	77.97500	92.00000
65000	87.094	3.29788	80.00000	93.00000
70000	92.947	2.62585	87.00000	98.00000
75000	93.128	2.54324	88.00000	98.00000
80000	91.095	2.74982	85.97500	96.00000
85000	97.047	1.68512	93.00000	100.00000
90000	90.042	2.95550	84.00000	96.00000
95000	97.014	1.68423	93.97500	100.00000
100000	97.006	1.63604	93.00000	100.00000
105000	92.050	2.69309	87.00000	97.00000
110000	89.975	3.05708	84.00000	96.00000
115000	86.888	3.47268	80.00000	93.00000
125000	90.966	2.86165	85.00000	96.00000
130000	92.024	2.69939	87.00000	96.02500
135000	92.982	2.50239	88.00000	97.00000
145000	94.921	2.20491	90.00000	99.00000
155000	97.003	1.67026	93.00000	100.00000
160000	90.953	2.87525	85.00000	96.00000
170000	94.999	2.17387	90.00000	99.00000
180000	94.954	2.11858	91.00000	98.00000
190000	90.962	2.87695	85.00000	96.00000
