
0	0.000	0.00000	0.00000	0.00000
250	0.000	0.00000	0.00000	0.00000
500	0.000	0.00000	0.00000	0.00000
750	0.000	0.00000	0.00000	0.00000
1250	0.000	0.00000	0.00000	0.00000
1750	0.000	0.00000	0.00000	0.00000
2750	0.000	0.00000	0.00000	0.00000
4250	0.000	0.00000	0.00000	0.00000
6500	0.000	0.00000	0.00000	0.00000
10000	0.000	0.00000	0.00000	0.00000
15000	0.000	0.00000	0.00000	0.00000
20000	0.000	0.00000	0.00000	0.00000
25000	2.092	1.39982	0.00000	5.00000
30000	4.019	1.95101	1.00000	8.00000
35000	5.927	2.39696	2.00000	11.00000
40000	6.109	2.33679	2.00000	11.00000
45000	10.122	2.86764	5.00000	16.00000
50000	9.896	2.98263	4.00000	16.00000
55000	18.102	3.90344	11.00000	26.00000
60000	10.971	3.24819	5.00000	18.00000
65000	20.826	4.35967	12.00000	29.02500
70000	23.837	4.32980	16.00000	33.00000
75000	21.004	4.18539	13.00000	30.00000
80000	29.090	4.64300	20.00000	39.00000
85000	28.033	4.46406	19.00000	37.00000
90000	24.122	4.09779	16.00000	32.00000
95000	25.937	4.28455	18.00000	35.00000
100000	30.021	4.53863	22.00000	39.00000
105000	33.877	4.89386	24.00000	43.00000
110000	22.007	4.20317	14.00000	30.00000
115000	26.015	4.25075	17.97500	34.00000
125000	32.242	4.53674	23.00000	41.00000
130000	33.918	4.76865	25.00000	44.00000
135000	42.929	4.95747	33.00000	52.00000
145000	46.280	4.96107	37.00000	56.00000
155000	36.686	5.06864	27.00000	46.00000
160000	41.896	5.04784	32.00000	52.00000
170000	47.764	5.05112	38.00000	57.02500
180000	49.193	5.09958	39.00000	59.00000
190000	48.967	5.07185	39.00000	59.00000
