
0	510.992
250	507.685
500	500.862
750	471.740
1250	423.554
1750	406.571
2750	305.121
4250	207.057
6500	139.613
10000	143.826
15000	146.750
20000	152.983
25000	138.314
30000	165.198
35000	138.712
40000	141.982
45000	183.326
50000	131.303
55000	151.742
60000	145.905
65000	141.184
70000	145.998
75000	144.681
80000	144.064
85000	129.621
90000	148.940
95000	137.227
100000	116.486
105000	145.860
110000	131.852
115000	136.869
125000	127.532
130000	132.212
135000	118.715
145000	137.660
155000	126.075
160000	142.290
170000	136.462
180000	139.408
190000	129.483
